"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"MGM: When The Lion Roars","Warner Brothers",,"Out","2.0","4:3",29.98,"NR","1992","Documentary","1.33:1","883929036325",2009-01-20 00:00:00,147742,2008-10-21 00:00:00,1
"Mi Media Naranja","BCI Eclipse / Brentwood",,"Out","2.0","4:3",9.98,"NR","UNK","Foreign","1.33:1","787364826896",2009-01-20 00:00:00,148668,2008-11-09 00:00:00,1
"MI-5 (Spooks), Vol. 6","BBC Home Video",,"Out","5.1","LBX, 16:9",79.98,"NR","2007","TV Classics","1.85:1","883929046225",2009-01-20 00:00:00,145800,2008-09-21 00:00:00,1
"Moonlight: The Complete Series","Warner Brothers",,"Out","5.1","LBX, 16:9",39.98,"NR","2007","TV Classics","1.78:1","883929047598",2009-01-20 00:00:00,147164,2008-10-14 00:00:00,1
"My Three Sons: The 1st Season, Vol. 2","Paramount",,"Out","2.0","4:3",38.99,"NR","1961","TV Classics","1.33:1","097368929746",2009-01-20 00:00:00,145973,2008-09-27 00:00:00,1
"My Three Sons: The 1st Season, Vol. 2 (Checkpoint)","Paramount",,"Out","2.0","4:3",39.99,"NR","1961","TV Classics","1.33:1","097368929722",2009-01-20 00:00:00,145991,2008-09-25 00:00:00,1
"My Three Sons: The 1st Season: The Complete 1st Season","Paramount",,"Out","2.0","4:3",79.99,"NR","1960","TV Classics","1.33:1","097361398549",2009-01-20 00:00:00,146016,2008-09-27 00:00:00,1
"My Three Sons: The 1st Season: The Complete 1st Season (Checkpoint)","Paramount",,"Out","2.0","4:3",70.99,"NR","1960","TV Classics","1.33:1","097361398525",2009-01-20 00:00:00,146005,2008-09-25 00:00:00,1
"National Geographic: Unlocking The Great Pyramid","National Geographic Video",,"Out","2.0","4:3",19.98,"NR","2008","Documentary","1.33:1","727994753384",2009-01-20 00:00:00,147254,2008-10-14 00:00:00,1
"National Lampoon's Stoned Age (R-Rated Version)","Paramount",,"Out","2.0","LBX, 16:9",29.99,"R","2008","Comedy","1.85:1","097361400846",2009-01-20 00:00:00,146023,2008-10-30 00:00:00,1
"National Lampoon's Stoned Age (R-Rated Version/ Checkpoint)","Paramount",,"Out","2.0","LBX, 16:9",29.99,"R","2008","Comedy","1.85:1","097361400822",2009-01-20 00:00:00,146022,2008-10-30 00:00:00,1
"National Lampoon's Stoned Age (Unrated Version)","Paramount",,"Out","2.0","LBX, 16:9",29.99,"UR","2008","Comedy","1.85:1","097361401041",2009-01-20 00:00:00,146021,2008-10-30 00:00:00,1
"National Lampoon's Stoned Age (Unrated Version/ Checkpoint)","Paramount",,"Out","2.0","LBX, 16:9",29.99,"UR","2008","Comedy","1.85:1","097361401027",2009-01-20 00:00:00,146024,2008-10-30 00:00:00,1
"Night Of The Living Freaks 2","Tapeman",2009-02-03 00:00:00,"Pending","2.0","4:3",14.95,"NR","UNK","Late Night","1.33:1","066080700575",2009-02-03 00:00:00,153343,2009-01-20 00:00:00,0
"Nine Below Zero: Both Sides Of (DVD/CD Combo)","Angel Air",,"Out","2.0","4:3",24.95,"NR","UNK","Music","1.33:1","5055011702424",2009-01-20 00:00:00,148722,2008-11-09 00:00:00,1
"Ninja Vixens #01 - 10: Complete Collection","FUNimation",,"Out","SUB","4:3",49.98,"MA17","UNK","Anime","1.33:1","704400085598",2009-01-20 00:00:00,148881,2008-11-11 00:00:00,1
"Nite Tales (Checkpoint)","Paramount",,"Out","2.0","4:3",22.99,"NR","2008","Horror","1.33:1","097368928220",2009-01-20 00:00:00,147828,2008-10-24 00:00:00,1
"North Mississippi Allstars: Do It Like We Used To (DVD/CD Combo)","Songs Of The South",,"Out","2.0","4:3",17.98,"NR","UNK","Music","1.33:1","800314900320",2009-01-20 00:00:00,151291,2009-01-09 00:00:00,1
"Not Quite Innocent Desires 3","Shami Production",,"Out","2.0","4:3",13.98,"UR","2009","Late Night","1.33:1","798657117539",2009-01-20 00:00:00,152291,2009-01-01 00:00:00,1
"Notebook (New Line/ Limited Edition)","New Line",,"Out","5.1","LBX, 16:9",29.98,"PG-13","2004","Drama","1.85:1","794043124723",2009-01-20 00:00:00,147745,2008-10-21 00:00:00,1
"Notebook (New Line/ Limited Edition/ Blu-ray)","New Line",,"Out","5.1","LBX, 16:9, BLU-RAY",39.99,"PG-13","2004","Drama","1.85:1","794043125867",2009-01-20 00:00:00,147752,2008-10-21 00:00:00,1
"Old Hag (Sub Rosa Studios)","Sub Rosa Studios",,"Out","2.0","LBX",19.95,"NR","2007","Horror","1.85:1","674945122495",2009-01-20 00:00:00,147246,2008-10-14 00:00:00,1
"Olga Neuwirth: Music For Films","Allegro",2009-02-10 00:00:00,"Pending","2.0","4:3",31.98,"NR","UNK","Documentary","1.33:1","9120010281341",2009-02-10 00:00:00,153342,2009-01-20 00:00:00,0
"On Each Side","First Run Features",,"Out","SUB","LBX",24.95,"NR","2005","Foreign","1.85:1","720229913584",2009-01-20 00:00:00,147643,2008-10-19 00:00:00,1
"One Piece (FUNimation): Season 1, 3rd Voyage","FUNimation",,"Out","SUB","4:3",49.98,"GA","2000","Anime","1.33:1","704400095832",2009-01-20 00:00:00,148909,2009-01-10 00:00:00,1
